Strain	Female	Male	C1M296443013	PH.BLUE	PH.MPH	EH.BLUE	EH.MPH
F19M02	F19	M02	CT	286.4563112	101.6108145	125.0188805	45.96215876
F19M03	F19	M03	CC	255.5958462	78.0568802	129.4272556	36.89098813
F19M04	F19	M04	CT	285.1193524	115.3251074	125.992437	50.60984897
F20M01	F20	M01	TT	284.3070378	87.15388016	115.3732277	39.33941025
F20M02	F20	M02	TT	276.2585794	94.7204875	115.1646903	45.91410198
F20M03	F20	M03	CT	262.0296776	87.79811636	135.6808782	52.95074416
F20M04	F20	M04	TT	236.1391714	69.65233127	104.1525415	38.57608691
F21M01	F21	M01	TT	299.6092725	68.78016156	118.4835823	33.49261229
F21M02	F21	M02	TT	295.1956769	79.98163171	121.9870849	43.77934401
F21M03	F21	M03	CT	292.9358722	85.02835766	146.0253675	54.33808089
F21M04	F21	M04	TT	259.0266978	58.86390435	107.5978367	33.06422961
F22M01	F22	M01	TT	299.9480838	88.63494794	116.2566808	39.56548581
F22M02	F22	M02	TT	294.1129633	98.4148931	112.8051607	42.89719485
F22M03	F22	M03	CT	303.5545612	115.1630218	139.4558744	56.06836293
F22M04	F22	M04	TT	265.5532749	84.90645653	107.0677326	40.83390057
F23M01	F23	M01	TT	287.7025498	63.04693634	113.5030513	25.58926009
F23M02	F23	M02	TT	297.0122142	87.97166643	116.0630572	34.93249519
F23M03	F23	M03	CT	292.0027947	90.26877763	150.6699346	56.05982692
F23M04	F23	M04	TT	270.5645866	76.57529057	115.1132992	37.65687095
F24M01	F24	M01	TT	300.0555788	59.85321186	112.7568672	26.49456289
F24M02	F24	M02	TT	300.2132542	75.62595299	120.4417197	40.96264452
F24M03	F24	M03	CT	309.4251355	92.14436496	146.5178072	53.55918631
F24M04	F24	M04	TT	278.9499932	69.41394375	108.058749	32.2538076
F26M01	F26	M01	TT	300.5856665	80.76784715	123.5745026	39.22227665
F26M02	F26	M02	TT	283.8352406	79.63248698	110.9990452	33.4300484
F26M03	F26	M03	CT	289.3170371	92.42081411	139.9481886	48.89964612
F26M04	F26	M04	TT	270.6464531	81.49495115	114.1069895	40.21212643
F27M01	F27	M01	CT	308.4845049	73.97267467	129.4312338	34.46752587
F27M02	F27	M02	CT	291.4037005	72.50693602	119.8579087	31.67742994
F27M03	F27	M03	CC	300.5753324	88.98509855	142.3943932	40.7343687
F27M04	F27	M04	CT	286.9622121	83.11669938	127.8136288	43.30728378
F28M01	F28	M01	TT	294.8707606	77.02519476	111.2055593	32.98798567
F28M02	F28	M02	TT	290.4111991	88.18069896	111.9704743	40.53612979
F28M03	F28	M03	CT	303.20693	108.2829605	132.899599	47.98570884
F28M04	F28	M04	TT	278.5515127	91.37226426	111.945033	44.18482232
F29M01	F29	M01	TT	283.9519702	74.22816281	115.3114977	40.01860681
F29M02	F29	M02	TT	280.8718365	86.76309482	119.874077	51.36441534
F29M03	F29	M03	CT	281.0711727	94.26896167	131.1402513	49.15104387
F29M04	F29	M04	TT	246.9678019	67.91031201	102.6629529	37.82742498
F30M01	F30	M01	CT	289.0887372	83.69151101	118.9247679	45.14778584
F30M02	F30	M02	CT	282.2434545	92.46129401	116.8067515	49.81299865
F30M03	F30	M03	CC	281.2579502	98.7823205	147.0303566	66.55705808
F30M04	F30	M04	CT	276.3867343	101.6558256	130.8701385	67.55051935
F31M01	F31	M01	CT	288.7972551	86.66445473	114.7435185	45.94932119
F31M02	F31	M02	CT	283.709443	97.19170835	115.6882676	53.67729946
F31M03	F31	M03	CC	287.2422457	108.0310417	124.0140801	48.52356631
F31M04	F31	M04	CT	260.0558299	88.58934697	100.6882956	42.35146121
F32M01	F32	M01	TT	285.7164649	63.06539454	125.9333011	19.74822183
F32M02	F32	M02	TT	290.3968653	83.3608606	122.194565	22.79271493
F32M03	F32	M03	CT	293.946621	94.21714705	144.3343434	31.45294761
F32M04	F32	M04	TT	285.7162359	93.73148297	134.5392507	38.81153431
F33M01	F33	M01	TT	306.785857	84.16253261	133.4246088	42.21546529
F33M02	F33	M02	TT	295.6167037	88.60844504	132.317902	47.89198763
F33M03	F33	M03	CT	291.6737984	91.97207044	139.4547635	41.54930336
F33M04	F33	M04	TT	267.525029	75.56802214	119.9105776	39.15879692
F35M01	F35	M01	TT	269.5214891	56.74907835	108.9563228	23.15107972
F35M02	F35	M02	TT	277.5137918	80.35644672	113.8746603	34.85264635
F35M03	F35	M03	CT	286.9947489	97.14393455	143.2051411	50.70358144
F35M04	F35	M04	TT	273.7035167	91.59742339	112.9236864	37.57580622
F36M01	F36	M01	TT	312.663766	44.35461122	123.216965	21.28987583
F36M02	F36	M02	TT	316.419104	63.72501485	125.7797303	30.6358703
F36M03	F36	M03	CT	301.9305419	56.54298345	148.0058693	39.38246363
F36M04	F36	M04	TT	290.0788295	52.43599217	114.8883134	23.41858715
F37M01	F37	M01	TT	293.4906376	76.95366024	120.5304058	26.60112629
F37M02	F37	M02	TT	288.6254006	87.70348893	118.2872739	31.14122347
F37M03	F37	M03	CT	291.8836332	98.26825229	157.432473	56.80687697
F37M04	F37	M04	TT	263.5218053	77.65114537	117.1469654	33.67504882
F39M01	F39	M01	TT	291.8703027	85.6838808	116.6031304	45.92085227
F39M02	F39	M02	TT	274.5510764	83.97972016	106.3099034	42.41085442
F39M03	F39	M03	CT	280.3218663	97.05704078	132.9592752	55.58068053
F39M04	F39	M04	TT	250.1635192	74.64341475	101.7673708	41.54245564
F40M01	F40	M01	TT	304.3681322	71.48521001	111.5277731	27.79186004
F40M02	F40	M02	TT	313.2030583	95.93520177	127.1057949	50.15311092
F40M03	F40	M03	CT	307.1976603	97.23633449	154.6635819	64.2313523
F40M04	F40	M04	TT	269.1388866	66.9222818	108.271496	34.99294581
F41M01	F41	M01	TT	282.4813637	70.28852214	109.8494444	35.41228919
F41M02	F41	M02	TT	272.6329963	76.05522041	109.9503654	42.29643932
F41M03	F41	M03	CT	268.2904292	79.0191841	128.9412735	47.80780178
F41M04	F41	M04	TT	245.3140434	63.78751927	98.50812034	34.52832805
F42M01	F42	M01	TT	302.815896	73.81150058	115.8011549	31.31733864
F42M02	F42	M02	TT	299.4938769	86.10454715	117.6096742	39.90908713
F42M03	F42	M03	CT	288.0874839	82.00468485	138.2523478	47.07221508
F42M04	F42	M04	TT	267.6427568	69.30467878	106.2479036	32.22145025
F43M01	F43	M01	CT	281.4147284	78.27727995	107.2281238	33.51609857
F43M02	F43	M02	CT	275.3094965	87.78711367	109.5814853	42.65268915
F43M03	F43	M03	CC	270.0854056	89.86955356	130.6790086	50.2706668
F43M04	F43	M04	CT	262.5431825	90.07205144	104.1282854	40.87362308
F44M01	F44	M01	TT	289.3089026	65.98118104	107.4878269	27.6818474
F44M02	F44	M02	TT	285.5390682	77.82641228	102.5929388	29.57018842
F44M03	F44	M03	CT	274.3058032	73.899678	127.3071297	40.80483366
F44M04	F44	M04	TT	246.2300846	53.56868043	100.2959989	30.94738234
F46M01	F46	M01	TT	298.8606355	80.31948931	119.3227418	40.7047206
F46M02	F46	M02	TT	292.2060177	89.27993724	119.8098544	47.97506237
F46M03	F46	M03	CT	274.190493	78.57094326	132.5286087	47.21427096
F46M04	F46	M04	TT	250.3125137	62.43768503	104.2569803	36.09632205
F47M01	F47	M01	TT	296.6533473	75.07087842	120.6392626	33.12739926
F47M02	F47	M02	TT	273.2816113	67.31420818	117.6730647	36.9444305
F47M03	F47	M03	CT	292.0266152	93.36574271	144.7444498	50.53626991
F47M04	F47	M04	TT	262.7091771	71.79302568	113.5356445	36.48114407
F48M01	F48	M01	TT	285.4194503	60.5120571	104.3582544	26.07770122
F48M02	F48	M02	TT	285.5124458	76.22011832	113.2614564	41.7641324
F48M03	F48	M03	CT	282.9229734	80.93717663	138.854513	53.87764329
F48M04	F48	M04	TT	259.0348339	64.79375815	100.4448502	32.62165993
F49M01	F49	M01	CT	312.94852	87.60391524	127.5905332	48.21971438
F49M02	F49	M02	CT	294.8526186	85.12307954	118.0165871	45.42899744
F49M03	F49	M03	CC	296.1780741	93.75506565	137.729632	51.66249665
F49M04	F49	M04	CT	279.2233579	84.54507053	113.2680831	44.35462724
F50M01	F50	M01	CT	292.5003003	88.28048605	112.2545823	46.97700839
F50M02	F50	M02	CT	281.090193	92.48544451	110.8560186	52.3616739
F50M03	F50	M03	CC	274.4990532	93.20083539	113.9614584	41.98756797
F50M04	F50	M04	CT	255.3146621	81.76116534	102.1067912	47.28658021
F52M01	F52	M01	TT	287.8253943	63.56446742	98.87323186	27.77407214
F52M02	F52	M02	TT	270.9738793	62.32801818	95.46749428	31.15156371
F52M03	F52	M03	CT	282.6140188	81.27468837	121.1875233	43.39204707
F52M04	F52	M04	TT	264.2069633	70.61235389	93.54407477	32.90227797
F53M01	F53	M01	TT	305.6897939	99.47689627	120.7998403	45.69865966
F53M02	F53	M02	TT	292.8544023	102.2565703	113.0340752	44.71612373
F53M03	F53	M03	CT	293.6095144	110.3182131	141.8728482	60.07535103
F53M04	F53	M04	TT	277.0009798	101.4543996	112.9169572	48.27313948
F54M01	F54	M01	CT	305.8324699	81.47657388	116.4564456	40.88127454
F54M02	F54	M02	CT	292.9794907	84.2386603	114.5643705	45.77242859
F54M03	F54	M03	CC	288.8916349	87.45733522	134.5000382	52.22855068
F54M04	F54	M04	CT	278.5303192	84.84074062	110.7606564	45.64284832
F55M01	F55	M01	TT	306.8033854	77.45940712	124.559846	38.67582407
F55M02	F55	M02	TT	292.3195443	78.59063179	113.2020455	34.10125266
F55M03	F55	M03	CT	306.8091869	100.386805	145.4513627	52.87102422
F55M04	F55	M04	TT	278.9364283	80.25876751	113.0302767	37.60361765
F56M01	F56	M01	TT	280.4730408	67.15636156	89.47901974	19.29229008
F56M02	F56	M02	TT	287.0843679	89.38275435	100.5673397	37.16383915
F56M03	F56	M03	CT	269.8117785	79.41669567	116.6314754	39.74842922
F56M04	F56	M04	TT	244.3355096	61.68514778	90.52241844	30.7930517
F57M01	F57	M01	TT	301.7817664	84.83907568	120.5404627	38.24317386
F57M02	F57	M02	TT	274.2620031	72.93437809	112.6780242	37.16396455
F57M03	F57	M03	CT	295.358922	101.3378276	140.7766311	51.7830258
F57M04	F57	M04	TT	278.3091548	92.03278148	118.0439498	46.20402395
F58M01	F58	M01	TT	291.9489311	70.87007829	103.5531842	31.72244129
F58M02	F58	M02	TT	291.6797911	86.21600406	111.254311	46.20679723
F58M03	F58	M03	CT	286.1604442	88.00318781	127.5916511	49.06459166
F58M04	F58	M04	TT	260.586747	70.17421167	99.99077876	38.61739878
F59M01	F59	M01	TT	278.9328585	86.63924982	108.2942519	40.35103609
F59M02	F59	M02	TT	264.571577	87.89303402	105.7137245	44.55373782
F59M03	F59	M03	CT	272.1552846	102.7832723	136.4028334	61.76330101
F59M04	F59	M04	TT	248.2588801	86.63158886	111.0703383	53.58448537
F62M01	F62	M01	TT	295.3047872	75.88061375	111.5998951	38.49218557
F62M02	F62	M02	TT	294.944601	91.13549328	110.6017677	44.27728733
F62M03	F62	M03	CT	278.1693286	81.66675158	132.1069077	52.30288165
F62M04	F62	M04	TT	252.3032923	63.54543631	94.60755147	31.95720484
F63M01	F63	M01	TT	287.9357188	89.28544507	112.9090101	39.75172996
F63M02	F63	M02	TT	260.5656537	77.53044572	103.8319381	37.45788719
F63M03	F63	M03	CT	268.0388478	92.31017052	122.5564269	42.70283024
F63M04	F63	M04	TT	246.1768219	78.19286567	101.4252549	38.7253377
F64M01	F64	M01	TT	297.8650267	95.48295874	113.7247168	47.67958957
F64M02	F64	M02	TT	280.9564109	94.18940859	105.5996545	46.3377564
F64M03	F64	M03	CT	289.8570025	110.396531	132.773731	60.03228719
F64M04	F64	M04	TT	258.726169	87.0104185	102.6984498	47.11068549
F65M01	F65	M01	TT	282.8797674	69.99677441	116.0719859	39.31094073
F65M02	F65	M02	TT	272.9364269	75.66849959	116.2536729	46.27585689
F65M03	F65	M03	CT	276.0658564	86.10445984	138.5456168	55.08825509
F65M04	F65	M04	TT	236.2452692	54.02859369	100.3906566	34.08697439
F66M01	F66	M01	TT	293.6066195	80.60516074	107.7582944	34.95320959
F66M02	F66	M02	TT	280.5468907	83.16049764	110.8866331	44.86477739
F66M03	F66	M03	CT	285.7650881	95.6852257	132.3176136	52.81621223
F66M04	F66	M04	TT	253.2780723	70.94293096	95.43394754	33.08622561
F67M01	F67	M01	CT	301.0352392	89.92330503	121.8867448	50.80757272
F67M02	F67	M02	CT	280.9202948	85.42342634	111.9883143	47.69237134
F67M03	F67	M03	CC	276.6565924	88.46625471	125.9247726	48.14928395
F67M04	F67	M04	CT	268.7902373	88.34462063	111.6746635	51.05285429
F68M01	F68	M01	TT	271.0030967	86.74227407	98.34559373	36.90618192
F68M02	F68	M02	TT	248.8230585	80.17730157	92.15371281	37.49753014
F68M03	F68	M03	CT	240.7456111	79.40638484	114.2598029	46.12407451
F68M04	F68	M04	TT	219.8961619	66.30165667	82.90730668	31.92525778
F69M01	F69	M01	TT	283.1023142	79.07166394	114.9361005	41.23936135
F69M02	F69	M02	TT	256.2545789	67.83899432	101.2988913	34.38538127
F69M03	F69	M03	CT	272.9783459	91.86929206	135.7296768	55.33662104
F69M04	F69	M04	TT	252.0389932	78.67466036	103.5330756	40.29369928
F72M01	F72	M01	TT	296.608441	62.49918677	116.6913938	24.05523425
F72M02	F72	M02	TT	286.4409291	67.94674059	120.1006119	34.24768159
F72M03	F72	M03	CT	293.7728654	82.58520761	146.1464824	46.81400638
F72M04	F72	M04	TT	284.7868259	81.34388912	125.4333991	43.2546025
F73M01	F73	M01	TT	276.2298632	76.43947535	106.7684314	32.59356288
F73M02	F73	M02	TT	277.4747789	93.2994567	110.3594569	42.96781756
F73M03	F73	M03	CT	283.3864684	106.517677	139.3798178	58.5086327
F73M04	F73	M04	TT	254.4311287	85.30705827	106.611274	42.8937684
F74M01	F74	M01	CT	297.8053496	76.35489513	113.2842479	28.38543872
F74M02	F74	M02	CT	292.610795	86.77540629	115.2738836	37.15830357
F74M03	F74	M03	CC	295.134122	96.60526392	144.3619527	52.76682702
F74M04	F74	M04	CT	278.3695795	87.58544246	111.2368386	36.79539238
F75M01	F75	M01	TT	285.3781417	81.92785689	119.3486789	38.60822559
F75M02	F75	M02	TT	279.8844647	92.04924557	112.716692	38.7594678
F75M03	F75	M03	CT	282.5275346	101.9988462	145.5881411	58.15137125
F75M04	F75	M04	TT	252.2341732	79.45020584	108.8101517	38.52706127
F76M01	F76	M01	TT	290.2118218	87.3315901	117.5332975	41.72433948
F76M02	F76	M02	TT	279.5326215	92.2674555	107.1738361	38.1481072
F76M03	F76	M03	CT	284.9408497	104.9822144	146.7707501	64.26547551
F76M04	F76	M04	TT	254.8762996	82.66238531	111.3348292	45.98323401
F77M01	F77	M01	TT	291.5432681	79.86870146	105.4590726	31.82395781
F77M02	F77	M02	TT	270.2440378	74.18453688	100.0887343	33.23684869
F77M03	F77	M03	CT	278.6797423	89.9267721	135.4268069	55.09537555
F77M04	F77	M04	TT	241.3203856	60.31213641	94.42694285	31.24919097
F78M01	F78	M01	CT	263.8237197	76.02490817	105.928159	34.63110611
F78M02	F78	M02	CT	268.9233984	96.73965259	109.7291259	45.21530212
F78M03	F78	M03	CC	221.591644	56.7144288	109.578427	31.58505751
F78M04	F78	M04	CT	232.5381801	75.40568604	98.51120451	37.67151451
F79M01	F79	M01	TT	285.5152607	85.72174533	113.2798139	39.50701639
F79M02	F79	M02	TT	286.501759	102.3233093	114.4399238	47.45035552
F79M03	F79	M03	CT	281.8872085	105.0152895	140.7892141	60.32010009
F79M04	F79	M04	TT	251.0763867	81.94918883	103.5835589	40.26812431
F80M01	F80	M01	TT	275.8779298	61.94687336	101.5855071	26.03256567
F80M02	F80	M02	TT	261.628261	63.31227032	103.7429712	34.97325893
F80M03	F80	M03	CT	266.5383093	75.52884934	128.9576938	46.70843579
F80M04	F80	M04	TT	229.5366408	46.27190183	87.12003018	22.02445164
F81M01	F81	M01	TT	269.497774	71.31133179	95.1115824	27.41278792
F81M02	F81	M02	TT	262.4741959	79.90281939	89.49634674	28.58078141
F81M03	F81	M03	CT	264.1083055	88.84345972	114.3387981	39.94368709
F81M04	F81	M04	TT	242.9713934	75.45126865	93.40783062	36.16639905
F82M01	F82	M01	TT	286.1545793	84.12476314	113.1559825	39.05361391
F82M02	F82	M02	TT	262.0304173	75.6156668	103.7512176	36.43207818
F82M03	F82	M03	CT	258.5443923	79.43617247	130.472233	49.67354786
F82M04	F82	M04	TT	245.0838588	73.72036003	108.6584865	45.01348084
F83M01	F83	M01	TT	300.5787048	81.85229983	125.589495	37.07976143
F83M02	F83	M02	TT	289.296793	86.18545374	120.0328488	38.3063444
F83M03	F83	M03	CT	264.6859006	68.88109203	142.0441668	46.83811665
F83M04	F83	M04	TT	278.0361791	89.97609161	123.7525157	45.70014507
F84M01	F84	M01	TT	259.7419468	65.18596174	90.49074061	27.5345793
F84M02	F84	M02	TT	246.1294425	67.18852309	86.84282929	30.66989713
F84M03	F84	M03	CT	243.6913134	72.05692474	113.9449839	44.29250604
F84M04	F84	M04	TT	209.2402938	45.35062618	78.49104678	25.99224839
F86M01	F86	M01	CT	286.9424515	79.42363256	109.4158347	35.50944433
F86M02	F86	M02	CT	282.7519701	90.8482168	112.4692478	45.34608662
F86M03	F86	M03	CC	277.4786242	92.88140167	128.0203046	47.41759765
F86M04	F86	M04	CT	272.0197194	95.16721791	107.8338876	44.38486016
F88M01	F88	M01	TT	289.245612	75.93209891	118.2726994	39.8322608
F88M02	F88	M02	TT	270.1311537	72.43270632	112.639005	40.98179554
F88M03	F88	M03	CT	294.54186	104.1499433	143.0557182	57.91896299
F88M04	F88	M04	TT	269.7700478	87.1228521	113.4182181	45.43514234
F89M01	F89	M01	TT	276.4446679	71.25598647	102.7578422	28.47342493
F89M02	F89	M02	TT	273.9889157	84.41529987	109.2001499	41.69896173
F89M03	F89	M03	CT	282.9673103	100.7002253	135.6486361	54.66790229
F89M04	F89	M04	TT	238.0164531	63.49408912	94.0388642	30.21180983
F90M01	F90	M01	TT	282.6483599	87.5006316	101.8579848	36.55754769
F90M02	F90	M02	TT	268.8817986	89.34913596	98.34880128	39.83159334
F90M03	F90	M03	CT	272.6945458	100.4684139	129.4915604	57.49480679
F90M04	F90	M04	TT	244.4056835	79.92427255	94.99728722	40.15421306
F91M01	F91	M01	TT	298.2069211	95.53199211	113.727928	45.26973257
F91M02	F91	M02	TT	276.6111409	89.55127764	112.355622	50.68065571
F91M03	F91	M03	CT	288.666415	108.9130824	128.003105	52.84859302
F91M04	F91	M04	TT	260.8835481	88.87493657	105.280328	47.27949542
F92M01	F92	M01	TT	289.6721722	73.44203514	117.6477787	36.83022227
F92M02	F92	M02	TT	279.1606685	78.54559717	118.1795832	44.1452559
F92M03	F92	M03	CT	297.7994871	104.4909465	148.0291826	60.51530966
F92M04	F92	M04	TT	273.8514169	88.28759729	117.3992872	47.03909371
M01M02	M01	M02	TT	299.2023263	91.95985895	112.4414835	46.050975
M04M03	M04	M03	CT	245.816874	76.54725483	113.9214158	44.50872459
